cpu_mark,cpu_cores,cpu_clock,cpu_smt,cpu_tdp,thread_mark,g3d_mark,gpu_vram,gpu_tdp,gpu_g2d,label,match
42243,20,2.1,1,65,4258,27007,12,350,1088,1440p_144+,1
25664,10,2.5,1,148,3709,14128,6,160,748,1440p_60,1
10170,6,3.6,0,95,2583,6323,4,75,648,1080p_60,1
32388,18,3.0,1,165,2652,20416,8,200,988,1440p_120-144,1
2478,2,3.33,1,87,1446,27007,12,350,1088,1440p_144+,0
39061,12,3.7,1,105,3470,19752,8,115,1083,1080p_144+,1
48583,12,3.6,1,65,4141,20778,12,250,964,1440p_144+,0
42152,20,2.1,1,65,4271,20416,8,200,988,1440p_120-144,1
19486,6,2.5,1,65,3492,12717,6,125,805,1440p_60,0
25664,10,2.5,1,148,3709,38421,24,450,1295,4k_144+,0
30562,12,2.1,1,65,3862,26728,16,300,1048,1080p_144+,0
9541,6,3.0,0,65,2447,7647,4,53,715,1080p_60,0
8723,4,3.6,1,65,2588,14128,6,160,748,1080p_120-144,0
46162,16,3.4,1,125,4347,22292,8,220,998,1440p_144+,0
1952,2,2.8,1,35,1492,31747,12,285,1195,4k_120-144,0
58010,24,3.0,1,125,4597,22726,8,160,1077,4k_60,0
22466,10,3.7,1,165,2674,16895,12,170,960,1440p_60,1
43912,16,3.4,1,150,4338,9554,4,107,808,1080p_60,0
52891,20,3.4,1,125,4479,23468,8,290,1049,4k_120-144,0
21876,6,3.7,1,65,3363,9554,4,107,808,1080p_60,1
48583,12,3.6,1,65,4141,28889,20,315,1203,4k_120-144,1
16340,8,3.6,1,95,2197,7647,4,53,715,1080p_60,1
43912,16,3.4,1,150,4338,14128,6,160,748,4k_60,0
25364,10,2.5,1,148,3768,26728,16,300,1048,1080p_120-144,0
53404,20,3.4,1,125,4498,31747,12,285,1195,1440p_144+,1
3062,2,3.0,1,35,1775,7647,4,53,715,1080p_60,0
34555,8,3.6,1,65,4065,17172,8,176,913,4k_60,0
22563,8,2.5,1,65,3385,26728,16,300,1048,1080p_120-144,0
28455,6,4.7,1,105,4139,26728,16,300,1048,1440p_60,0
25350,6,4.3,1,65,3881,14377,8,180,879,1440p_60,1
30562,12,2.1,1,65,3862,27007,10,350,1088,4k_60,1
61286,24,3.0,1,150,4734,38421,24,450,1295,4k_144+,1
34555,8,3.6,1,65,4065,26969,12,200,1159,4k_60,1
20872,8,2.5,1,65,3278,14377,8,180,879,1440p_60,1
28455,6,4.7,1,105,4139,12714,8,130,925,1440p_60,1
8723,4,3.6,1,65,2588,38421,24,450,1295,4k_144+,0
13556,4,3.4,1,60,3420,19828,12,230,943,1080p_60,0
42243,20,2.1,1,65,4258,20416,8,200,988,4k_60,1
21570,6,3.3,1,65,3833,7647,4,53,715,1080p_60,1
25364,10,2.5,1,148,3768,14128,6,160,748,1080p_120-144,1
34544,12,3.6,1,190,4023,38421,24,450,1295,1440p_60,0
35890,8,4.5,1,105,4193,31747,12,285,1195,1080p_144+,0
2478,2,3.33,1,87,1446,14128,6,160,748,1080p_120-144,0
34243,12,3.6,1,190,4001,26678,24,350,1056,4k_60,1
41080,16,3.2,1,241,4155,12912,6,120,808,4k_60,0
50476,24,2.0,1,65,4412,38421,24,450,1295,4k_144+,1
46398,16,3.4,1,125,4357,19752,8,115,1083,4k_120-144,0
50414,12,4.4,1,120,4132,38421,24,450,1295,4k_144+,1
13263,8,3.0,0,65,2769,8788,4,150,740,1080p_60,1
39035,14,3.5,1,125,4288,16895,12,170,960,1080p_144+,1
41369,16,3.2,1,241,4148,22726,8,160,1077,1440p_120-144,1
42746,24,1.1,1,35,4178,24985,16,300,1021,1440p_144+,0
31402,14,2.6,1,65,4008,16485,8,160,911,1080p_144+,1
2787,2,3.6,0,58,2227,38421,24,450,1295,4k_144+,0
58842,24,3.0,1,125,4614,31747,12,285,1195,4k_120-144,1
31443,8,4.2,1,65,3898,27007,12,350,1088,1440p_120-144,0
20266,6,3.6,1,65,3225,16895,12,170,960,1080p_60,0
21565,6,3.5,1,65,3258,16895,12,170,960,1440p_60,1
35890,8,4.5,1,105,4193,20416,8,200,988,1440p_120-144,1
19486,6,2.5,1,65,3492,16619,8,165,969,1080p_60,0
1968,2,3.2,0,54,1773,25180,10,320,1049,1440p_120-144,0
41369,16,3.2,1,241,4148,25180,10,320,1049,1440p_120-144,1
31635,14,2.5,1,65,3871,26678,24,350,1056,1440p_120-144,0
50476,24,2.0,1,65,4412,28889,20,315,1203,4k_144+,0
36773,16,2.1,1,65,4112,16895,12,170,960,1080p_144+,1
27874,14,3.3,1,165,2663,29618,24,450,1228,1080p_120-144,0
2787,2,3.6,0,58,2227,22726,8,160,1077,1440p_120-144,0
23441,10,2.5,1,154,3498,12717,6,125,805,1080p_120-144,1
16040,6,3.7,1,65,2658,7647,4,53,715,1080p_60,1
58010,24,3.0,1,125,4597,31747,12,285,1195,4k_120-144,1
13180,6,3.4,1,65,2242,7647,4,53,715,1080p_60,1
22193,8,2.5,1,65,3407,8788,4,150,740,1080p_60,1
8194,6,2.2,0,35,2156,12714,8,130,925,1440p_60,0
25364,10,2.5,1,148,3768,7877,4,75,568,1440p_60,0
53404,20,3.4,1,125,4498,38421,24,450,1295,4k_144+,1
52891,20,3.4,1,125,4479,12714,8,130,925,4k_120-144,0
23050,14,1.6,1,35,3604,12714,8,130,925,1080p_120-144,1
1952,2,2.8,1,35,1492,15119,8,132,879,1080p_144+,0
38668,14,3.5,1,125,4273,18216,8,215,880,1440p_120-144,1
31443,8,4.2,1,65,3898,12714,8,130,925,4k_60,0
36773,16,2.1,1,65,4112,22292,8,220,998,4k_60,1
41080,16,3.2,1,241,4155,26969,12,200,1159,1440p_144+,1
42746,24,1.1,1,35,4178,22292,8,220,998,1440p_120-144,1
31443,8,4.2,1,65,3898,24985,16,300,1021,1080p_144+,0
25350,6,4.3,1,65,3881,14128,6,160,748,1440p_60,1
35890,8,4.5,1,105,4193,17172,8,176,913,4k_60,0
22466,10,3.7,1,165,2674,22726,8,160,1077,1080p_120-144,0
25097,10,2.5,1,148,3638,16895,12,170,960,1440p_60,1
34243,12,3.6,1,190,4001,23468,8,290,1049,1440p_120-144,1
23050,14,1.6,1,35,3604,27007,12,350,1088,1080p_120-144,0
10170,6,3.6,0,95,2583,16895,12,170,960,1440p_60,0
27874,14,3.3,1,165,2663,27007,12,350,1088,1440p_60,0
58842,24,3.0,1,125,4614,38421,24,450,1295,4k_144+,1
28401,16,1.4,1,35,3809,26678,24,350,1056,4k_60,0
20266,6,3.6,1,65,3225,12717,6,125,805,1080p_120-144,1
23441,10,2.5,1,154,3498,12714,8,130,925,1440p_60,1
26850,6,3.7,1,65,3842,11659,6,120,777,1080p_120-144,1
30611,12,2.1,1,65,3896,16895,12,170,960,1440p_120-144,0
46162,16,3.4,1,125,4347,16895,12,170,960,4k_120-144,0
39061,12,3.7,1,105,3470,25180,10,320,1049,4k_60,1
20288,6,3.6,1,65,3338,31060,24,355,1240,1440p_60,0
33982,16,2.4,1,65,4028,27007,12,350,1088,1080p_144+,0
18011,6,2.8,1,65,3293,16485,8,160,911,1080p_144+,0
48583,12,3.6,1,65,4141,27007,12,350,1088,1440p_144+,1
31711,14,2.7,1,65,4049,17172,8,176,913,4k_60,0
37783,14,3.5,1,125,4131,25180,10,320,1049,1440p_120-144,1
7446,6,1.7,0,35,1914,38421,24,450,1295,4k_144+,0
9231,4,3.7,1,65,2325,19752,8,115,1083,1080p_144+,0
62504,16,4.2,1,120,4151,25180,10,320,1049,4k_144+,0
42243,20,2.1,1,65,4258,31747,12,285,1195,1440p_144+,1
37783,14,3.5,1,125,4131,14128,6,160,748,1440p_120-144,0
34555,8,3.6,1,65,4065,27007,12,350,1088,4k_60,1
25099,8,3.5,1,125,3511,16485,8,160,911,1440p_60,1
38668,14,3.5,1,125,4273,11659,6,120,777,1440p_120-144,0
39035,14,3.5,1,125,4288,16619,8,165,969,1080p_144+,1
53404,20,3.4,1,125,4498,19828,12,230,943,4k_144+,0
58842,24,3.0,1,125,4614,27007,12,350,1088,4k_144+,0
25099,8,3.5,1,125,3511,16619,8,165,969,1080p_144+,0
23590,8,3.9,1,105,2803,31747,12,285,1195,1440p_60,0
13556,4,3.4,1,60,3420,15119,8,132,879,1440p_60,0
1952,2,2.8,1,35,1492,27007,10,350,1088,4k_60,0
20288,6,3.6,1,65,3338,12717,6,125,805,1440p_60,1
16281,8,2.9,1,65,2899,9554,4,107,808,1080p_60,1
20288,6,3.6,1,65,3338,27007,10,350,1088,1440p_60,0
19829,6,3.9,1,65,3188,7647,4,53,715,1080p_60,1
31402,14,2.6,1,65,4008,27007,12,350,1088,4k_60,1
43912,16,3.4,1,150,4338,23468,8,290,1049,4k_60,1
31635,14,2.5,1,65,3871,27007,12,350,1088,4k_60,1
26330,8,3.0,1,105,2971,26728,16,300,1048,1440p_144+,0
46719,24,2.0,1,65,4423,31060,24,355,1240,4k_120-144,1
2149,2,2.8,0,51,1687,38421,24,450,1295,4k_144+,0
13556,4,3.4,1,60,3420,9554,4,107,808,1080p_60,1
46731,24,2.0,1,65,4491,27007,12,350,1088,1440p_144+,1
38713,16,2.1,1,65,4125,19752,8,115,1083,1080p_144+,1
20872,8,2.5,1,65,3278,16619,8,165,969,1440p_60,1
48583,12,3.6,1,65,4141,31747,12,285,1195,4k_120-144,1
21565,6,3.5,1,65,3258,8788,4,150,740,1080p_60,1
53404,20,3.4,1,125,4498,28130,16,335,1049,4k_120-144,1
23441,10,2.5,1,154,3498,31747,12,285,1195,1080p_120-144,0
46719,24,2.0,1,65,4423,14128,6,160,748,4k_120-144,0
46208,24,2.0,1,65,4312,31060,20,355,1240,4k_120-144,1
58970,24,3.2,1,125,4696,19752,8,115,1083,4k_144+,0
10648,6,3.7,0,95,2733,16485,8,160,911,1080p_144+,0
20266,6,3.6,1,65,3225,16619,8,165,969,1440p_60,1
62631,16,4.5,1,170,4273,27007,12,350,1088,4k_144+,0
31711,14,2.7,1,65,4049,26678,24,350,1056,1080p_144+,0
26105,12,3.5,1,165,2718,14128,6,160,748,1080p_120-144,1
30562,12,2.1,1,65,3862,31747,12,285,1195,1080p_144+,0
26850,6,3.7,1,65,3842,38421,24,450,1295,1080p_120-144,0
26636,8,3.4,1,65,3382,14128,6,160,748,1080p_120-144,1
46208,24,2.0,1,65,4312,27007,12,350,1088,4k_60,0
1807,2,2.8,0,35,1594,14128,6,160,748,1080p_120-144,0
37783,14,3.5,1,125,4131,25180,10,320,1049,1080p_144+,0
38713,16,2.1,1,65,4125,19828,12,230,943,4k_60,1
31402,14,2.6,1,65,4008,20778,12,250,964,1440p_120-144,1
27664,10,3.7,1,150,3935,12714,8,130,925,1440p_60,1
1786,4,2.0,0,25,690,25180,10,320,1049,1440p_120-144,0
42746,24,1.1,1,35,4178,31747,12,285,1195,4k_60,0
58970,24,3.2,1,125,4696,31060,24,355,1240,4k_120-144,1
17721,6,3.6,1,65,2564,22292,8,220,998,1440p_120-144,0
43912,16,3.4,1,150,4338,27007,12,350,1088,1440p_144+,1
1364,2,2.8,0,65,1301,26728,16,300,1048,4k_60,0
62504,16,4.2,1,120,4151,20416,8,200,988,1440p_120-144,0
21876,6,3.7,1,65,3363,31060,24,355,1240,4k_120-144,0
19350,6,3.6,1,65,3056,12714,8,130,925,1080p_60,0
17498,8,3.7,1,105,2420,26728,16,300,1048,1440p_144+,0
4766,4,2.5,0,35,1780,20416,8,200,988,1440p_120-144,0
36108,16,2.4,1,65,4029,22726,8,160,1077,4k_60,1
27664,10,3.7,1,150,3935,12714,8,130,925,1080p_120-144,1
39061,12,3.7,1,105,3470,31060,20,355,1240,4k_60,0
25099,8,3.5,1,125,3511,27007,12,350,1088,1080p_120-144,0
34544,12,3.6,1,190,4023,22292,8,220,998,4k_60,1
35890,8,4.5,1,105,4193,27007,12,350,1088,1440p_120-144,0
58842,24,3.0,1,125,4614,20416,8,200,988,4k_144+,0
42152,20,2.1,1,65,4271,22726,8,160,1077,4k_60,1
2149,2,2.8,0,51,1687,12714,8,130,925,1080p_120-144,0
6963,4,3.5,0,65,2122,38421,24,450,1295,4k_144+,0
38668,14,3.5,1,125,4273,17172,8,176,913,1080p_144+,1
16125,6,3.6,1,65,2598,22292,8,220,998,1080p_60,0
43912,16,3.4,1,150,4338,25180,10,320,1049,4k_60,1
25364,10,2.5,1,148,3768,16895,12,170,960,1080p_120-144,0
41080,16,3.2,1,241,4155,16619,8,165,969,1440p_144+,0
21565,6,3.5,1,65,3258,16895,12,170,960,1440p_60,1
12160,6,2.9,1,65,2543,19752,8,115,1083,1080p_60,0
16281,8,2.9,1,65,2899,9554,4,107,808,1080p_60,1
27794,8,3.8,1,105,3445,16895,12,170,960,1440p_60,1
58010,24,3.0,1,125,4597,34556,16,320,1234,1440p_144+,0
53404,20,3.4,1,125,4498,16485,8,160,911,1440p_144+,0
21570,6,3.3,1,65,3833,12717,6,125,805,1440p_60,1
42243,20,2.1,1,65,4258,27007,12,350,1088,1440p_144+,1
50414,12,4.4,1,120,4132,38421,24,450,1295,4k_144+,1
21565,6,3.5,1,65,3258,27007,12,350,1088,4k_60,0
33982,16,2.4,1,65,4028,23468,8,290,1049,4k_60,1
10648,6,3.7,0,95,2733,28889,20,315,1203,4k_120-144,0
39035,14,3.5,1,125,4288,22292,8,220,998,4k_60,1
2149,2,2.8,0,51,1687,16895,12,170,960,1440p_60,0
46208,24,2.0,1,65,4312,34556,16,320,1234,4k_120-144,1
4117,4,3.3,0,95,1703,24985,16,300,1021,1440p_120-144,0
4287,2,4.2,1,58,2531,16895,12,170,960,1080p_144+,0
37614,14,3.5,1,125,4123,19752,8,115,1083,1080p_144+,1
22466,10,3.7,1,165,2674,19828,10,230,943,1080p_144+,0
23050,14,1.6,1,35,3604,12714,8,130,925,1440p_60,1
21570,6,3.3,1,65,3833,28889,20,315,1203,1080p_120-144,0
42243,20,2.1,1,65,4258,20416,8,200,988,1440p_120-144,1
14283,6,4.1,1,125,2918,20416,8,200,988,1080p_60,0
9872,6,3.0,0,65,2575,17172,8,176,913,1080p_144+,0
3602,2,3.6,1,51,2153,12714,8,130,925,1080p_120-144,0
4829,2,4.1,1,51,2507,9554,4,107,808,1080p_60,0
34261,8,4.2,1,120,3754,25180,10,320,1049,1440p_120-144,1
21570,6,3.3,1,65,3833,11659,6,120,777,1080p_120-144,1
20288,6,3.6,1,65,3338,26969,12,200,1159,1440p_144+,0
50476,24,2.0,1,65,4412,20416,8,200,988,4k_144+,0
39035,14,3.5,1,125,4288,16895,12,170,960,1440p_120-144,0
36773,16,2.1,1,65,4112,9554,4,107,808,1080p_60,0
25099,8,3.5,1,125,3511,26969,12,200,1159,1080p_120-144,0
37614,14,3.5,1,125,4123,26969,12,200,1159,4k_60,1
31443,8,4.2,1,65,3898,20416,8,200,988,4k_60,1
34544,12,3.6,1,190,4023,23468,8,290,1049,1440p_120-144,1
1909,2,2.9,0,54,1583,7647,4,53,715,1080p_60,0
48583,12,3.6,1,65,4141,31747,12,285,1195,4k_120-144,1
46731,24,2.0,1,65,4491,26678,24,350,1056,4k_120-144,0
42152,20,2.1,1,65,4271,26678,24,350,1056,4k_60,1
48583,12,3.6,1,65,4141,26678,24,350,1056,1440p_144+,1
31402,14,2.6,1,65,4008,25180,10,320,1049,1440p_120-144,1
18693,8,3.8,1,125,3046,20778,12,250,964,1080p_60,0
31635,14,2.5,1,65,3871,34556,16,320,1234,4k_120-144,0
9535,4,3.8,1,65,2789,14128,6,160,748,1080p_120-144,0
12924,4,2.5,1,35,3423,16895,12,170,960,1080p_144+,0
37783,14,3.5,1,125,4131,23468,8,290,1049,1080p_144+,0
31443,8,4.2,1,65,3898,27007,12,350,1088,1440p_144+,0
21570,6,3.3,1,65,3833,14377,8,180,879,1080p_120-144,1
20266,6,3.6,1,65,3225,22292,8,220,998,4k_60,0
8723,4,3.6,1,65,2588,38421,24,450,1295,4k_144+,0
23590,8,3.9,1,105,2803,12717,6,125,805,1080p_120-144,1
24477,8,3.6,1,125,3396,12912,6,120,808,1440p_60,1
35890,8,4.5,1,105,4193,19752,8,115,1083,4k_60,1
19829,10,2.8,1,65,3030,28130,16,335,1049,4k_120-144,0
22193,8,2.5,1,65,3407,16619,8,165,969,1440p_60,1
31443,8,4.2,1,65,3898,23468,8,290,1049,1080p_144+,0
31635,14,2.5,1,65,3871,20416,8,200,988,1440p_120-144,1
34243,12,3.6,1,190,4001,15119,8,132,879,1440p_60,1
50476,24,2.0,1,65,4412,12717,6,125,805,4k_144+,0
14189,6,4.1,1,125,2914,38421,24,450,1295,4k_144+,0
48583,12,3.6,1,65,4141,31747,12,285,1195,4k_120-144,1
58010,24,3.0,1,125,4597,11659,6,120,777,1440p_144+,0
32388,18,3.0,1,165,2652,22726,8,160,1077,1440p_120-144,1
1858,2,3.1,1,65,1418,31747,12,285,1195,4k_120-144,0
22466,10,3.7,1,165,2674,12714,8,130,925,1080p_120-144,1
39061,12,3.7,1,105,3470,19752,8,115,1083,1080p_144+,1
62631,16,4.5,1,170,4273,38421,24,450,1295,4k_144+,1
13169,6,3.6,0,65,2503,28889,20,315,1203,1080p_60,0
59317,24,3.2,1,125,4714,14128,6,160,748,1440p_144+,0
34261,8,4.2,1,120,3754,12714,8,130,925,1440p_60,1
36773,16,2.1,1,65,4112,22292,8,220,998,1440p_120-144,1
58010,24,3.0,1,125,4597,19752,8,115,1083,4k_144+,0
46162,16,3.4,1,125,4347,31747,12,285,1195,4k_120-144,1
52891,20,3.4,1,125,4479,38421,24,450,1295,4k_120-144,0
31635,14,2.5,1,65,3871,38421,24,450,1295,4k_144+,0
45525,16,3.4,1,105,3469,31060,24,355,1240,4k_120-144,1
1364,2,2.8,0,65,1301,38421,24,450,1295,4k_144+,0
39061,12,3.7,1,105,3470,16895,12,170,960,1440p_60,0
36108,16,2.4,1,65,4029,25180,10,320,1049,1440p_120-144,1
13263,8,3.0,0,65,2769,12714,8,130,925,1080p_60,0
12591,4,2.2,1,35,3276,38421,24,450,1295,4k_144+,0
31635,14,2.5,1,65,3871,19828,12,230,943,1080p_144+,1
21876,6,3.7,1,65,3363,16895,12,170,960,1440p_60,1
53404,20,3.4,1,125,4498,27007,12,350,1088,4k_144+,0
48583,12,3.6,1,65,4141,31747,12,285,1195,4k_120-144,1
26636,8,3.4,1,65,3382,12714,8,130,925,1440p_60,1
59317,24,3.2,1,125,4714,38421,24,450,1295,4k_144+,1
19829,6,3.9,1,65,3188,20416,8,200,988,4k_60,0
46719,24,2.0,1,65,4423,19752,8,115,1083,4k_120-144,0
50414,12,4.4,1,120,4132,12714,8,130,925,4k_144+,0
34243,12,3.6,1,190,4001,25180,10,320,1049,1440p_60,0
62631,16,4.5,1,170,4273,20416,8,200,988,1440p_120-144,0
9223,6,2.8,0,65,2376,19752,8,115,1083,1080p_144+,0
20872,8,2.5,1,65,3278,12717,6,125,805,1080p_120-144,1
62504,16,4.2,1,120,4151,38421,24,450,1295,4k_144+,1
52891,20,3.4,1,125,4479,26678,24,350,1056,1440p_144+,1
39061,12,3.7,1,105,3470,16142,8,175,822,1080p_144+,1
30611,12,2.1,1,65,3896,29618,24,450,1228,4k_120-144,0
59317,24,3.2,1,125,4714,16619,8,165,969,1440p_60,0
34555,8,3.6,1,65,4065,24985,16,300,1021,1440p_120-144,1
4126,2,3.7,1,51,2175,12714,8,130,925,1080p_120-144,0
24844,8,3.5,1,125,3533,12714,8,130,925,1080p_120-144,1
39035,14,3.5,1,125,4288,16485,8,160,911,1080p_144+,1
53404,20,3.4,1,125,4498,19828,12,230,943,1440p_144+,0
41080,16,3.2,1,241,4155,27007,10,350,1088,1440p_120-144,0
46398,16,3.4,1,125,4357,28889,20,315,1203,4k_120-144,1
26330,8,3.0,1,105,2971,11659,6,120,777,1080p_120-144,1
16322,8,2.9,1,65,2876,9554,4,107,808,1080p_60,1
50414,12,4.4,1,120,4132,28889,20,315,1203,4k_120-144,1
31402,14,2.6,1,65,4008,19828,12,230,943,1440p_120-144,1
23878,8,3.6,1,125,3376,19828,12,230,943,1080p_120-144,0
41080,16,3.2,1,241,4155,16485,8,160,911,1440p_144+,0
21876,6,3.7,1,65,3363,14128,6,160,748,1080p_120-144,1
4221,2,4.1,1,58,2500,7647,4,53,715,1080p_60,0
23050,14,1.6,1,35,3604,12714,8,130,925,1080p_120-144,1
12591,4,2.2,1,35,3276,20416,8,200,988,4k_60,0
58970,24,3.2,1,125,4696,26728,16,300,1048,4k_144+,0
11029,4,3.8,1,65,2526,12714,8,130,925,1080p_60,0
51524,12,4.7,1,170,4245,38421,24,450,1295,4k_144+,1
62504,16,4.2,1,120,4151,38421,24,450,1295,4k_144+,1
1877,2,3.5,0,65,1629,14128,6,160,748,1440p_60,0
6814,4,3.8,0,91,2547,19752,8,115,1083,4k_60,0
36108,16,2.4,1,65,4029,12717,6,125,805,1080p_120-144,0
31443,8,4.2,1,65,3898,27007,12,350,1088,1080p_144+,0
24844,8,3.5,1,125,3533,26969,12,200,1159,1080p_60,0
61539,24,3.2,1,150,4850,38421,24,450,1295,4k_144+,1
39035,14,3.5,1,125,4288,26969,12,200,1159,4k_60,1
32388,18,3.0,1,165,2652,12714,8,130,925,1440p_60,1
26105,12,3.5,1,165,2718,26678,24,350,1056,1080p_120-144,0
22499,8,3.6,1,65,2658,19752,8,115,1083,1440p_120-144,0
50414,12,4.4,1,120,4132,34556,16,320,1234,4k_120-144,1
1364,2,2.8,0,65,1301,12714,8,130,925,1080p_120-144,0
30562,12,2.1,1,65,3862,16485,8,160,911,4k_60,0
16968,6,2.6,1,65,3019,7647,4,53,715,1080p_60,1
12924,4,2.5,1,35,3423,7877,4,75,568,1080p_60,1
33982,16,2.4,1,65,4028,19752,8,115,1083,1440p_120-144,1
51524,12,4.7,1,170,4245,27007,12,350,1088,1440p_144+,1
35890,8,4.5,1,105,4193,25180,10,320,1049,1440p_120-144,1
10648,6,3.7,0,95,2733,16485,8,160,911,1440p_60,0
31711,14,2.7,1,65,4049,25180,10,320,1049,4k_60,1
