drive_name,size,disk_mark,type
KINGRICH 64GB K93 SSD,59 GB,1637,SSD
Kingrich KM3 32GB MSATA22,29.8 GB,665,SSD
Kingrich KM9 128GB MSATA3 SSD,118 GB,1758,SSD
Kingrich KM9 60GB MSATA SSD,55.9 GB,994,SSD
Kingrich KM9 64GB MSATA3 SSD,59 GB,1532,SSD
KINGRICH SSD 512GB,476.9 GB,3029,SSD
Kingrich3 SSD 120GB,111.8 GB,952,SSD
KingSpec 128GB mSata SSD ACJC2M128mSH,119.2 GB,1388,SSD
KingSpec 256GB SSD P3-256,238.5 GB,3212,SSD
KingSpec 512GB M.2 NVMe NE-512,476.9 GB,11901,SSD
KingSpec ACSC2M032mSA,29.5 GB,2217,SSD
Kingspec ACSC2M128S25,118 GB,1609,SSD
Kingspec ACSC2M256S25,236 GB,2502,SSD
KingSpec Challenger C3000-120,111.8 GB,2137,SSD
KingSpec KSD-PA25.6-064MS,59.2 GB,382,SSD
KingSpec KSD-SA25.11-032MJ,30 GB,391,SSD
KingSpec KSD-SA25.5-032MJ,29.8 GB,592,SSD
KingSpec KSD-SA25.7-032MJ,28 GB,634,SSD
KingSpec KSD-ZF18.6-064MS,59 GB,354,SSD
Kingspeed 240GB,223.6 GB,4424,SSD
Kingspeed 256GB,238.5 GB,3881,SSD
Kingston A29128,116.6 GB,910,HDD
KINGSTON CY14-128,119.2 GB,4247,HDD
Kingston DataTraveler 2.0 USB,14.4 GB,4413,HDD
Kingston DataTraveler 2.0 USB,29.1 GB,68,HDD
Kingston DataTraveler 3.0 USB,57.6 GB,468,HDD
Kingston DataTraveler 3.0 USB,115.6 GB,418,SSD
Kingston DataTraveler 3.0 USB,29.3 GB,322,HDD
Kingston DataTraveler 3.0 USB,14.6 GB,274,SSD
Kingston DT Workspace USB,29.8 GB,1063,SSD
KINGSTON FURY Renegade 2TB,1.8 TB,50562,SSD
KINGSTON FURY Renegade 4TB,3.6 TB,52128,SSD
Kingston FURY Renegade 4TB SSD,3.6 TB,53921,SSD
Kingston FURY Renegade SFYRS 1000G,931.5 GB,45418,SSD
Kingston HyperX 120GB SH100S3120G,111.8 GB,3164,SSD
Kingston HyperX 240GB SH100S3240G,223.6 GB,3425,SSD
KINGSTON HyperX 3K 120GB,111.8 GB,3842,SSD
Kingston HyperX 3K 120GB SH103S3120G,111.8 GB,3547,SSD
Kingston HyperX 3K 240GB SH103S3240G,223.6 GB,4034,SSD
Kingston HyperX 3K 480GB SH103S3480G,447.1 GB,3798,SSD
Kingston HyperX 3K 90GB SH103S390G,83.7 GB,2707,SSD
Kingston HyperX 480GB SH100S3480G,447.1 GB,3676,SSD
Kingston HyperX FURY 120GB,111.8 GB,1892,SSD
KINGSTON KC3000 1TB,953.9 GB,45002,SSD
KINGSTON KC3000 2TB,1.9 TB,48742,SSD
KINGSTON KC3000 4TB,3.7 TB,46896,SSD
KINGSTON KC3000 512GB,476.9 GB,35467,SSD
KINGSTON KINGSTON SA400S3,223.6 GB,3130,SSD
KINGSTON KINGSTON SH103S3,223.6 GB,4043,SSD
KINGSTON KINGSTON SH103S3,447.1 GB,3398,SSD
KINGSTON KINGSTON SHFS37A,223.6 GB,3528,SSD
KINGSTON KINGSTON SHFS37A,111.8 GB,2685,SSD
KINGSTON KINGSTON SKC300S,223.6 GB,4309,SSD
KINGSTON KINGSTON SKC300S,167.7 GB,4107,SSD
KINGSTON KINGSTON SMS200S,111.8 GB,3387,SSD
KINGSTON KINGSTON SMS200S,55.9 GB,3263,SSD
KINGSTON KINGSTON SUV400S,223.6 GB,3766,SSD
KINGSTON KINGSTON SV300S3,447.1 GB,3887,SSD
KINGSTON KINGSTON SV300S3,223.6 GB,3357,SSD
KINGSTON KINGSTON SV300S3,111.8 GB,2635,SSD
KINGSTON KINGSTON SV300S3,55.9 GB,2168,SSD
KINGSTON KINGSTON SVP200S,223.6 GB,3258,SSD
Kingston M52532,29.1 GB,565,SSD
Kingston M52564,57 GB,828,SSD
Kingston NV2 2TB M.2 2280,1.8 TB,21395,SSD
KINGSTON OM3PDP3128B-AB,119.2 GB,7671,SSD
KINGSTON OM3PDP3256B-A01,238.5 GB,12694,SSD
KINGSTON OM3PDP3256B-AB,238.5 GB,12772,SSD
KINGSTON OM3PDP3512B-A01,476.9 GB,14022,SSD
KINGSTON OM3PGP41024P-A0,953.9 GB,32504,SSD
KINGSTON OM3PGP4128P-AH,119.2 GB,9056,SSD
KINGSTON OM3PGP4512Q-A0,476.9 GB,28997,SSD
KINGSTON OM4P0S3128Q-A0,119.2 GB,3833,SSD
KINGSTON OM8P0S3128B-A0,119.2 GB,3757,SSD
KINGSTON OM8P0S3128Q-A0,119.2 GB,3764,SSD
KINGSTON OM8P0S3256B-A0,238.5 GB,4211,SSD
KINGSTON OM8P0S3512B-A0,476.9 GB,3624,SSD
KINGSTON OM8P0S3512F-00,476.9 GB,4104,SSD
KINGSTON OM8PCP31024F-A01,953.9 GB,10083,HDD
KINGSTON OM8PCP31024F-AI1,953.9 GB,12482,SSD
KINGSTON OM8PCP3512F-A01,476.9 GB,5663,SSD
KINGSTON OM8PCP3512F-A02,476.9 GB,8345,SSD
KINGSTON OM8PCP3512F-AA,476.9 GB,8361,SSD
KINGSTON OM8PCP3512F-AB,476.9 GB,8480,SSD
KINGSTON OM8PCP3512F-AB1,476.9 GB,8303,SSD
KINGSTON OM8PCP3512F-AI1,476.9 GB,7442,SSD
KINGSTON OM8PDP31024B-A01,953.9 GB,18633,SSD
KINGSTON OM8PDP31024B-AI1,953.9 GB,15200,SSD
KINGSTON OM8PDP3128B-A01,119.2 GB,10156,SSD
KINGSTON OM8PDP3128B-AA1,119.2 GB,10219,SSD
KINGSTON OM8PDP3128B-AB1,119.2 GB,9331,SSD
KINGSTON OM8PDP3256B-A01,238.5 GB,14726,SSD
KINGSTON OM8PDP3256B-AA1,238.5 GB,13394,HDD
KINGSTON OM8PDP3256B-AB1,238.5 GB,13728,SSD
KINGSTON OM8PDP3256B-AI1,238.5 GB,14280,SSD
KINGSTON OM8PDP3512B-A01,476.9 GB,15105,SSD
KINGSTON OM8PDP3512B-AA1,476.9 GB,13352,SSD
KINGSTON OM8PDP3512B-AI1,476.9 GB,14029,SSD
KINGSTON OM8PGP41024N-A0,953.9 GB,25118,SSD
KINGSTON OM8PGP41024Q-A0,953.9 GB,34766,SSD
KINGSTON OM8PGP41024Q-AA,953.9 GB,34877,SSD
KINGSTON OM8PGP4128P-A0,119.2 GB,10273,SSD
KINGSTON OM8PGP4128P-AA,119.2 GB,9967,SSD
KINGSTON OM8PGP4128P-AB,119.2 GB,8226,SSD
KINGSTON OM8PGP4512N-A0,476.9 GB,18093,SSD
KINGSTON OM8PGP4512Q-A0,476.9 GB,31402,SSD
KINGSTON OM8PGP4512Q-AA,476.9 GB,23667,SSD
KINGSTON OM8PGP4512Q-AI,476.9 GB,28766,SSD
KINGSTON OM8S1S3128K-AH,119.2 GB,3727,SSD
KINGSTON OM8SBP3512K-AH,476.9 GB,12740,SSD
KINGSTON OM8SEP41024N-A0,953.9 GB,19611,SSD
KINGSTON OM8SEP41024Q-A0,953.9 GB,18648,SSD
KINGSTON OM8SEP4256Q-A0,238.5 GB,11706,SSD
KINGSTON OM8SEP4256Q-A01,238.5 GB,14171,SSD
KINGSTON OM8SEP4256Q-AA,238.5 GB,15374,SSD
KINGSTON OM8SEP4512N-A0,476.9 GB,16262,SSD
KINGSTON OM8SEP4512Q-A0,476.9 GB,15490,SSD
KINGSTON OM8SEP4512Q-A01,476.9 GB,19458,SSD
KINGSTON OM8SEP4512Q-AA,476.9 GB,19721,SSD
KINGSTON OM8SFP4512P-AH,476.9 GB,20682,SSD
KINGSTON RBU-SC100S37120GE,111.8 GB,2208,SSD
KINGSTON RBU-SC100S37128G,119.2 GB,2427,SSD
KINGSTON RBU-SC100S37128GD,119.2 GB,2874,SSD
KINGSTON RBU-SC100S37128GE,119.2 GB,2051,SSD
KINGSTON RBU-SC100S37240GE,223.6 GB,2910,SSD
KINGSTON RBU-SC100S37256GD,238.5 GB,3208,SSD
KINGSTON RBU-SC150S37128GD,119.2 GB,3223,SSD
KINGSTON RBU-SC150S3760GD1,55.9 GB,2674,SSD
KINGSTON RBU-SC152DS3764GG,59.6 GB,2422,SSD
KINGSTON RBU-SC152S37128GG2,119.2 GB,2913,SSD
KINGSTON RBU-SC152S37256GG2,238.5 GB,3403,SSD
KINGSTON RBU-SC400S37128,119.2 GB,2842,SSD
KINGSTON RBU-SC400S37128G,119.2 GB,3311,SSD
KINGSTON RBU-SC400S37256G,238.5 GB,3710,SSD
KINGSTON RBU-SMS100S3128GA,119.2 GB,2361,SSD
KINGSTON RBU-SMS100S3128GD,119.2 GB,3056,SSD
KINGSTON RBU-SMS100S3256GA,238.5 GB,3080,SSD
KINGSTON RBU-SMS100S360GD,55.9 GB,2483,SSD
KINGSTON RBU-SMSM151S3128GD1,119.2 GB,1895,SSD
KINGSTON RBU-SNS8100S3128GD,119.2 GB,3188,SSD
KINGSTON RBU-SNS8100S3128GD1,119.2 GB,3152,SSD
KINGSTON RBU-SNS8100S3256GD,238.5 GB,3496,SSD
KINGSTON RBU-SNS8100S3256GD1,238.5 GB,3343,SSD
KINGSTON RBU-SNS8100S360GD,55.9 GB,2738,SSD
KINGSTON RBU-SNS8100S364G2,59.6 GB,2356,SSD
KINGSTON RBU-SNS8151S396GG,89.4 GB,1575,SSD
KINGSTON RBU-SNS8152S3128GF,119.2 GB,2676,SSD
KINGSTON RBU-SNS8152S3128GG2,119.2 GB,2797,SSD
KINGSTON RBU-SNS8152S3128GG5,119.2 GB,3327,SSD
KINGSTON RBU-SNS8152S3128GG6,119.2 GB,3218,SSD
KINGSTON RBU-SNS8152S3256GF,238.5 GB,2679,SSD
KINGSTON RBU-SNS8152S3256GG2,238.5 GB,3296,SSD
KINGSTON RBU-SNS8152S3256GG5,238.5 GB,3669,SSD
KINGSTON RBU-SNS8152S3256GG6,238.5 GB,3537,SSD
KINGSTON RBU-SNS8152S3512GF,476.9 GB,3087,SSD
KINGSTON RBU-SNS8152S3512GG2,476.9 GB,3992,SSD
KINGSTON RBUSC180DS37128GH,119.2 GB,2316,SSD
KINGSTON RBUSC180DS37128GJ,119.2 GB,3324,SSD
KINGSTON RBUSC180DS37256GH,238.5 GB,2550,SSD
KINGSTON RBUSC180DS37256GJ,238.5 GB,2805,SSD
KINGSTON RBUSC180S37128GJ,119.2 GB,3514,SSD
KINGSTON RBUSC180S3764GJ,59.6 GB,2622,SSD
KINGSTON RBUSMS180DS364GG,59.6 GB,3590,SSD
KINGSTON RBUSNS4180S3256GG,238.5 GB,3790,SSD
KINGSTON RBUSNS4180S3256GJ,238.5 GB,3849,SSD
KINGSTON RBUSNS8154P3128GJ,119.2 GB,6060,SSD
KINGSTON RBUSNS8154P3128GJ1,119.2 GB,6380,SSD
KINGSTON RBUSNS8154P3128GJ3,119.2 GB,6364,SSD
KINGSTON RBUSNS8154P3256GJ,238.5 GB,8068,SSD
KINGSTON RBUSNS8154P3256GJ1,238.5 GB,8720,SSD
KINGSTON RBUSNS8154P3256GJ2,238.5 GB,8047,SSD
KINGSTON RBUSNS8154P3256GJ3,238.5 GB,8450,SSD
KINGSTON RBUSNS8154P3256GJ5,238.5 GB,9626,SSD
KINGSTON RBUSNS8154P3512GJ,476.9 GB,9807,SSD
KINGSTON RBUSNS8154P3512GJ1,476.9 GB,10607,SSD
KINGSTON RBUSNS8154P3512GJ3,476.9 GB,10115,SSD
KINGSTON RBUSNS8154P3512GJ5,476.9 GB,10909,SSD
KINGSTON RBUSNS8180DS3128GH,119.2 GB,2372,SSD
KINGSTON RBUSNS8180DS3128GJ,119.2 GB,2892,SSD
KINGSTON RBUSNS8180DS3256GH,238.5 GB,3354,SSD
KINGSTON RBUSNS8180DS3256GJ,238.5 GB,2872,SSD
KINGSTON RBUSNS8180DS3512GJ,476.9 GB,2958,SSD
KINGSTON RBUSNS8180S3128GI,119.2 GB,2636,SSD
KINGSTON RBUSNS8180S3128GI1,119.2 GB,2843,SSD
KINGSTON RBUSNS8180S3128GJ,119.2 GB,2914,SSD
KINGSTON RBUSNS8180S3256GJ,238.5 GB,3574,SSD
KINGSTON RBUSNS8180S3512GJ,476.9 GB,2825,SSD
KINGSTON RBUSNS8280S3128GH2,119.2 GB,2371,SSD
Kingston S10032,28.5 GB,318,SSD
KINGSTON SA1000M8240G,223.6 GB,8358,SSD
KINGSTON SA1000M8480G,447.1 GB,9462,SSD
KINGSTON SA1000M8960G,894.3 GB,9572,SSD
KINGSTON SA2000M,931.5 GB,10774,HDD
KINGSTON SA2000M,465.8 GB,10250,SSD
KINGSTON SA2000M,232.9 GB,7374,HDD
KINGSTON SA2000M8/250G,238.5 GB,13066,SSD
KINGSTON SA2000M81000G,931.5 GB,14317,SSD
KINGSTON SA2000M8250G,232.9 GB,10857,SSD
KINGSTON SA2000M8500G,465.8 GB,13279,SSD
KINGSTON SA400M8120G,111.8 GB,3070,SSD
KINGSTON SA400M8240G,223.6 GB,3177,SSD
KINGSTON SA400M8480G,447.1 GB,4085,SSD
KINGSTON SA400S3,894.3 GB,3049,SSD
KINGSTON SA400S3,111.8 GB,2823,SSD
KINGSTON SA400S3,447.1 GB,2812,SSD
KINGSTON SA400S3,223.6 GB,2558,SSD
KINGSTON SA400S37 120GB,111.8 GB,2381,SSD
KINGSTON SA400S37 240G,223.6 GB,2287,SSD
KINGSTON SA400S37 240GB,223.6 GB,3087,SSD
KINGSTON SA400S37 480GB,447.1 GB,2160,SSD
Kingston SA400S37/120G,111.8 GB,2581,SSD
KINGSTON SA400S37/240G,223.6 GB,2308,SSD
KINGSTON SA400S37/240GB,223.6 GB,2129,SSD
KINGSTON SA400S37/480G,447.1 GB,2508,SSD
KINGSTON SA400S37/480GB,447.1 GB,2602,SSD
KINGSTON SA400S37120,111.8 GB,1128,SSD
KINGSTON SA400S37120G,223.6 GB,3568,SSD
KINGSTON SA400S37120G,447.1 GB,3368,SSD
KINGSTON SA400S37120G,111.8 GB,2342,SSD
KINGSTON SA400S37120GB,111.8 GB,2436,SSD
KINGSTON SA400S371920G,1.7 TB,3317,SSD
KINGSTON SA400S37240,223.6 GB,1312,SSD
KINGSTON SA400S37240G,447.1 GB,3088,SSD
KINGSTON SA400S37240G,223.6 GB,2917,SSD
KINGSTON SA400S37240GB,223.6 GB,2524,SSD
KINGSTON SA400S37480,447.1 GB,1333,SSD
KINGSTON SA400S37480G,447.1 GB,3311,SSD
KINGSTON SA400S37480GB,447.1 GB,2934,SSD
KINGSTON SA400S37960G,894.3 GB,3723,SSD
KINGSTON SE50S3480G,447.1 GB,3710,SSD
KINGSTON SEDC1000BM8960G,894.3 GB,12148,SSD
KINGSTON SEDC450R960G,894.3 GB,5416,SSD
KINGSTON SEDC600M1920G,1.7 TB,5109,SSD
KINGSTON SEDC600M480G,447.1 GB,4371,SSD
KINGSTON SFYRD20,1.8 TB,43882,HDD
KINGSTON SFYRDK2000G,1.8 TB,50500,SSD
KINGSTON SFYRS10,931.5 GB,36280,HDD
KINGSTON SFYRS500G,465.8 GB,36605,SSD
KINGSTON SFYRSK1000G,931.5 GB,43658,SSD
KINGSTON SFYRSK500G,465.8 GB,34121,SSD
KINGSTON SH103S3,447.1 GB,3519,SSD
KINGSTON SH103S3,111.8 GB,3517,SSD
KINGSTON SH103S3,83.8 GB,3123,SSD
KINGSTON SH103S3,223.6 GB,3115,SSD
KINGSTON SH103S3240G-NV,223.6 GB,3439,SSD
KINGSTON SHFR200240G,223.6 GB,4009,SSD
KINGSTON SHFR200480G,447.1 GB,4193,SSD
KINGSTON SHFR200960G,894.3 GB,4031,SSD
KINGSTON SHFS37A,223.6 GB,3376,SSD
KINGSTON SHFS37A,111.8 GB,2661,SSD
KINGSTON SHFS37A120G,111.8 GB,2834,SSD
KINGSTON SHFS37A240G,223.6 GB,4032,SSD
KINGSTON SHFS37A480G,447.1 GB,3504,SSD
Kingston SHPM2280P2/240G,223.6 GB,8195,SSD
Kingston SHPM2280P2/480G,447.1 GB,9947,SSD
Kingston SHPM2280P2H/240G,223.6 GB,8273,SSD
Kingston SHPM2280P2H/480G,447.1 GB,9089,SSD
KINGSTON SHSS37A,111.8 GB,2819,SSD
KINGSTON SHSS37A,223.6 GB,2674,SSD
KINGSTON SHSS37A,447.1 GB,2579,SSD
KINGSTON SHSS37A120G,111.8 GB,3219,SSD
KINGSTON SHSS37A240G,223.6 GB,3637,SSD
KINGSTON SHSS37A480G,447.1 GB,3719,SSD
KINGSTON SHSS37A960G,894.3 GB,4016,SSD
KINGSTON SKC1000240G,223.6 GB,9715,SSD
KINGSTON SKC1000480G,447.1 GB,10754,SSD
KINGSTON SKC1000960G,894.3 GB,10289,SSD
KINGSTON SKC100S3120G,111.8 GB,2980,SSD
KINGSTON SKC100S3240G,223.6 GB,3192,SSD
KINGSTON SKC100S3480G,447.1 GB,3032,SSD
KINGSTON SKC2000M81000G,931.5 GB,18857,SSD
KINGSTON SKC2000M82000G,1.8 TB,18800,SSD
KINGSTON SKC2000M8250G,232.9 GB,13928,SSD
KINGSTON SKC2000M8500G,465.8 GB,17371,SSD
KINGSTON SKC2500M81000G,931.5 GB,20587,SSD
KINGSTON SKC2500M82000G,1.8 TB,21194,SSD
KINGSTON SKC2500M8250G,232.9 GB,15908,SSD
KINGSTON SKC2500M8500G,465.8 GB,20991,SSD
KINGSTON SKC30001TB,931.5 GB,29817,SSD
KINGSTON SKC300S,223.6 GB,4290,SSD
KINGSTON SKC300S37A120G,111.8 GB,3404,SSD
KINGSTON SKC300S37A180G,167.7 GB,3919,SSD
KINGSTON SKC300S37A240G,223.6 GB,3806,SSD
KINGSTON SKC300S37A480G,447.1 GB,3452,SSD
KINGSTON SKC300S37A60G,55.9 GB,2955,SSD
KINGSTON SKC380S3120G,111.8 GB,2105,SSD
KINGSTON SKC380S360G,55.9 GB,1943,SSD
KINGSTON SKC400S37128G,119.2 GB,3273,SSD
KINGSTON SKC400S371T,953.9 GB,4052,SSD
KINGSTON SKC400S37256G,238.5 GB,3166,SSD
KINGSTON SKC400S37512G,476.9 GB,3458,SSD
KINGSTON SKC600/1024G,931.5 GB,3337,SSD
KINGSTON SKC600/256G,238.5 GB,2612,SSD
KINGSTON SKC600/512G,476.9 GB,3055,SSD
KINGSTON SKC6001024G,953.9 GB,4326,SSD
KINGSTON SKC6002048G,1.9 TB,4627,SSD
KINGSTON SKC600256G,238.5 GB,4327,SSD
KINGSTON SKC600512G,476.9 GB,4340,SSD
KINGSTON SKC600MS1024G,953.9 GB,4432,SSD
KINGSTON SKC600MS256G,238.5 GB,3564,SSD
KINGSTON SKC600MS512G,476.9 GB,4487,SSD
KINGSTON SM2280S3120G,111.8 GB,3158,SSD
KINGSTON SM2280S3240G,223.6 GB,3309,SSD
KINGSTON SM2280S3G2120G,111.8 GB,3126,SSD
KINGSTON SM2280S3G2240G,223.6 GB,3514,SSD
KINGSTON SM2280S3G2480G,447.1 GB,4108,SSD
KINGSTON SMS100S232G,29.8 GB,774,SSD
KINGSTON SMS100S264G,59.6 GB,1317,SSD
KINGSTON SMS151S324G,22.4 GB,1265,SSD
KINGSTON SMS200S,111.8 GB,3423,SSD
KINGSTON SMS200S,55.9 GB,3157,SSD
KINGSTON SMS200S3120G,111.8 GB,3266,SSD
KINGSTON SMS200S3240G,223.6 GB,3944,SSD
KINGSTON SMS200S330G,28 GB,1706,SSD
KINGSTON SMS200S360G,55.9 GB,2460,SSD
KINGSTON SMSM151S3128GD,119.2 GB,1903,SSD
KINGSTON SMSR150S3256G,119.2 GB,1782,SSD
KINGSTON SNV2S1000G,931.5 GB,20495,SSD
KINGSTON SNV2S2000G,1.8 TB,22581,SSD
KINGSTON SNV2S250G,232.9 GB,16773,SSD
KINGSTON SNV2S4000G,3.6 TB,24659,SSD
KINGSTON SNV2S500G,465.8 GB,21236,SSD
KINGSTON SNV325S2,119.1 GB,1174,SSD
KINGSTON SNV3S1000G,931.5 GB,36818,SSD
KINGSTON SNV3S2000G,1.8 TB,40618,SSD
KINGSTON SNV3S4000G,3.6 TB,41802,SSD
KINGSTON SNV3S500G,465.8 GB,29756,SSD
KINGSTON SNV425S,59.6 GB,1063,SSD
KINGSTON SNV425S2128GB,119.2 GB,774,SSD
KINGSTON SNV425S264G,59.6 GB,961,SSD
KINGSTON SNV425S264GB,59.6 GB,909,SSD
KINGSTON SNVP325S2128GB,119.2 GB,1285,SSD
KINGSTON SNVP325S2256GB,238.5 GB,1218,SSD
KINGSTON SNVP325S2512GB,476.9 GB,1275,SSD
KINGSTON SNVP325S264GB,59.5 GB,1252,SSD
KINGSTON SNVS/250G,238.5 GB,11890,SSD
KINGSTON SNVS/500G,476.9 GB,11722,SSD
KINGSTON SNVS1000G,931.5 GB,13236,SSD
KINGSTON SNVS1000GB,931.5 GB,11336,SSD
KINGSTON SNVS2000G,1.8 TB,12461,SSD
KINGSTON SNVS2000GB,1.8 TB,12878,SSD
KINGSTON SNVS250G,232.9 GB,13496,SSD
KINGSTON SNVS500G,465.8 GB,15750,SSD
KINGSTON SNVS500GB,465.8 GB,13826,SSD
KINGSTON SNVSE2000G,1.8 TB,13475,SSD
KINGSTON SNVSE500G,465.8 GB,16780,SSD
KINGSTON SQ500S37120G,111.8 GB,2642,SSD
KINGSTON SQ500S37240G,223.6 GB,3068,SSD
KINGSTON SQ500S37480G,447.1 GB,3821,SSD
KINGSTON SQ500S37960G,894.3 GB,4480,SSD
KINGSTON SRNGD2000G,1.8 TB,44897,SSD
KINGSTON SRNGS1000G,931.5 GB,46956,SSD
KINGSTON SS200S330G,28 GB,1513,SSD
Kingston SSDNow 256GB,238.5 GB,668,SSD
KINGSTON SSDNow 40GB,37.2 GB,708,SSD
Kingston SSDNow 64GB,59.5 GB,986,SSD
Kingston SSDNow V Series,119.2 GB,496,SSD
Kingston SSDNow V Series 64GB,59.6 GB,513,SSD
KINGSTON SSDNow V+200 120GB,111.8 GB,2369,SSD
KINGSTON SSDNow V+200 60GB,55.9 GB,1432,SSD
KINGSTON SUV100S37A120G,111.8 GB,1846,SSD
KINGSTON SUV300S,223.6 GB,3509,SSD
KINGSTON SUV300S37A1,111.8 GB,1514,SSD
KINGSTON SUV300S37A120G,111.8 GB,2963,SSD
KINGSTON SUV300S37A240G,223.6 GB,3615,SSD
KINGSTON SUV300S37A480G,447.1 GB,3234,SSD
KINGSTON SUV400S,447.1 GB,3279,SSD
KINGSTON SUV400S,223.6 GB,3254,SSD
KINGSTON SUV400S,111.8 GB,2947,SSD
KINGSTON SUV400S37 120G,111.8 GB,2362,SSD
KINGSTON SUV400S37 240G,223.6 GB,2509,SSD
KINGSTON SUV400S37/120G,116.3 GB,1859,SSD
KINGSTON SUV400S3712,111.8 GB,1346,SSD
KINGSTON SUV400S37120G,111.8 GB,3260,SSD
KINGSTON SUV400S3724,223.6 GB,1741,SSD
KINGSTON SUV400S37240G,223.6 GB,3903,SSD
KINGSTON SUV400S3748,447.1 GB,1722,SSD
KINGSTON SUV400S37480G,447.1 GB,3805,SSD
KINGSTON SUV400S37960G,894.3 GB,4487,SSD
KINGSTON SUV500120G,111.8 GB,2651,SSD
KINGSTON SUV500240G,223.6 GB,3854,SSD
KINGSTON SUV500480G,447.1 GB,3783,SSD
KINGSTON SUV500960G,894.3 GB,3754,SSD
KINGSTON SUV500M8120G,111.8 GB,3005,SSD
KINGSTON SUV500M8240G,223.6 GB,4073,SSD
KINGSTON SUV500M8480G,447.1 GB,4388,SSD
KINGSTON SUV500M8960G,894.3 GB,4160,SSD
KINGSTON SUV500MS120G,111.8 GB,2875,SSD
KINGSTON SUV500MS240G,223.6 GB,3724,SSD
KINGSTON SUV500MS480G,447.1 GB,3608,SSD
KINGSTON SV100S2128G,119.2 GB,1075,SSD
KINGSTON SV100S2256G,238.5 GB,916,SSD
KINGSTON SV100S232G,29.7 GB,659,HDD
KINGSTON SV100S264G,59.6 GB,1051,SSD
KINGSTON SV200S3,119.2 GB,1336,SSD
KINGSTON SV200S3128G,119.2 GB,1395,SSD
KINGSTON SV200S3256G,238.5 GB,799,SSD
KINGSTON SV200S364G,59.5 GB,767,HDD
Kingston SV300 S37A 120GB,111.8 GB,1844,SSD
KINGSTON SV300S3,447.1 GB,3521,SSD
KINGSTON SV300S3,223.6 GB,2751,SSD
KINGSTON SV300S3,111.8 GB,2605,SSD
KINGSTON SV300S3,55.9 GB,2283,SSD
KINGSTON SV300S3240G,223.6 GB,3013,SSD
KINGSTON SV300S37A 240G,223.6 GB,2793,SSD
KINGSTON SV300S37A12,111.8 GB,1427,SSD
KINGSTON SV300S37A120G,223.6 GB,3252,SSD
KINGSTON SV300S37A120G,465.8 GB,2989,SSD
KINGSTON SV300S37A120G,111.8 GB,2652,SSD
KINGSTON SV300S37A120G 120.0GB,111.8 GB,4497,SSD
Kingston SV300S37A120G USB,118 GB,1796,SSD
KINGSTON SV300S37A24,223.6 GB,1578,SSD
KINGSTON SV300S37A240G,223.6 GB,3403,SSD
KINGSTON SV300S37A240G,447.1 GB,2609,SSD
KINGSTON SV300S37A240G,111.8 GB,1454,SSD
KINGSTON SV300S37A480G,447.1 GB,3800,SSD
KINGSTON SV300S37A60,55.9 GB,1333,SSD
KINGSTON SV300S37A60G,55.9 GB,2206,SSD
KINGSTON SV310S37A960G,894.3 GB,2958,SSD
KINGSTON SVP100S,89.4 GB,1273,SSD
KINGSTON SVP100S2128G,119.2 GB,1570,SSD
KINGSTON SVP100S2128G,59.5 GB,1133,SSD
KINGSTON SVP100S2256G,238.5 GB,1234,SSD
KINGSTON SVP100S2512G,476.9 GB,1370,SSD
KINGSTON SVP100S264G,59.6 GB,1255,SSD
KINGSTON SVP100S296G,89.4 GB,1405,SSD
KINGSTON SVP180S2256G,238.5 GB,1283,SSD
KINGSTON SVP180S264G,59.6 GB,1232,SSD
KINGSTON SVP200S,223.6 GB,2737,SSD
KINGSTON SVP200S,55.9 GB,2012,SSD
KINGSTON SVP200S3120G,111.8 GB,2269,SSD
KINGSTON SVP200S3240G,223.6 GB,2790,SSD
KINGSTON SVP200S3240G,100.7 GB,2478,SSD
KINGSTON SVP200S3480G,447.1 GB,2702,SSD
KINGSTON SVP200S37A1,111.8 GB,1490,SSD
KINGSTON SVP200S37A120G,111.8 GB,2397,SSD
KINGSTON SVP200S37A240G,223.6 GB,2922,SSD
KINGSTON SVP200S37A256G,238.5 GB,2876,SSD
KINGSTON SVP200S37A60G,55.9 GB,1876,SSD
KINGSTON SVP200S37A90G,83.8 GB,2009,SSD
KINGSTON SVP200S390G,83.8 GB,1957,SSD
Kingston T52732,28.5 GB,603,SSD
Kingston TA2864,58.3 GB,1215,SSD
Kingston TA2964,58.3 GB,863,HDD
Kingston TX2964,58.3 GB,1385,HDD
Kingston TY2964,58.3 GB,1435,HDD
KINGSTON USNS8180S3512GJ,476.9 GB,2540,SSD
Kingston X29128,116.6 GB,1268,HDD
KingstonSA400S37,223.6 GB,2421,SSD
KingstonSA400S37/480G,447.1 GB,3008,SSD
KIOXIA (Toshiba) 128GB,119.2 GB,5140,SSD
KIOXIA KSG60ZMV256G M.2 2280 256GB,238.5 GB,4114,SSD
KIOXIA KXG70ZNV1T02 1024GB,953.9 GB,34447,SSD
KIOXIA THGJFJT1E45BATPA,238.3 GB,15512,HDD
KIOXIA THGJFJT2T85BAT0A,476.7 GB,16629,HDD
KIOXIA-EXCERIA G2 SSD,465.8 GB,15895,SSD
KIOXIA-EXCERIA G2 SSD,1.8 TB,15828,SSD
KIOXIA-EXCERIA G2 SSD,931.5 GB,15481,SSD
KIOXIA-EXCERIA PLUS G2 SSD,931.5 GB,23536,SSD
